sample_no,temperature,average temperature,filteredY,std,breath state
565,29.25,0,0,0,-1
566,29.26,0,0,0,-1
567,29.26,0,0,0,-1
568,29.26,0,0,0,-1
569,29.27,0,0,0,-1
570,29.29,0,0,0,-1
571,29.3,0,0,0,0
572,29.32,0,0,0,0
573,29.33,0,0,0,0
574,29.35,0,0,0,0
575,29.36,0,0,0,0
576,29.38,0,0,0,0
577,29.4,0,0,0,0
578,29.41,0,0,0,0
579,29.43,0,0,0,0
580,29.45,0,0,0,0
581,29.46,0,0,0,0
582,29.48,0,0,0,1
583,29.5,0,0,0,1
584,29.51,0,0,0,1
585,29.52,0,0,0,1
586,29.55,0,0,0,1
587,29.56,0,0,0,1
588,29.57,0,0,0,1
589,29.59,0,0,0,1
590,29.6,0,0,0,1
591,29.61,0,0,0,1
592,29.62,0,0,0,1
593,29.64,0,0,0,1
594,29.65,0,0,0,1
595,29.66,0,0,0,1
596,29.67,0,0,0,1
597,29.67,0,0,0,1
598,29.68,0,0,0,1
599,29.68,0,0,0,1
600,29.68,0,0,0,1
601,29.69,0,0,0,1
602,29.69,0,0,0,1
603,29.69,0,0,0,1
604,29.69,0,0,0,1
605,29.68,0,0,0,1
606,29.68,0,0,0,1
607,29.68,0,0,0,1
608,29.67,0,0,0,1
609,29.66,0,0,0,1
610,29.65,0,0,0,1
611,29.64,0,0,0,1
612,29.62,0,0,0,1
613,29.61,0,0,0,1
614,29.59,0,0,0,1
615,29.58,0,0,0,1
616,29.56,0,0,0,0
617,29.55,0,0,0,0
618,29.53,0,0,0,0
619,29.52,0,0,0,0
620,29.51,0,0,0,0
621,29.49,0,0,0,0
622,29.48,0,0,0,0
623,29.47,0,0,0,0
624,29.45,0,0,0,0
625,29.43,0,0,0,0
626,29.42,0,0,0,-1
627,29.41,0,0,0,-1
628,29.39,0,0,0,-1
629,29.39,0,0,0,-1
630,29.38,0,0,0,-1
631,29.38,0,0,0,-1
632,29.36,0,0,0,-1
633,29.36,0,0,0,-1
634,29.35,0,0,0,-1
635,29.35,0,0,0,-1
636,29.35,0,0,0,-1
637,29.34,0,0,0,-1
638,29.35,0,0,0,-1
639,29.35,0,0,0,-1
640,29.36,0,0,0,-1
641,29.37,0,0,0,-1
642,29.38,0,0,0,-1
643,29.38,0,0,0,-1
644,29.4,0,0,0,0
645,29.42,0,0,0,0
646,29.43,0,0,0,0
647,29.44,0,0,0,0
648,29.46,0,0,0,0
649,29.47,0,0,0,0
650,29.49,0,0,0,0
651,29.5,0,0,0,0
652,29.52,0,0,0,0
653,29.54,0,0,0,1
654,29.55,0,0,0,1
655,29.57,0,0,0,1
656,29.59,0,0,0,1
657,29.6,0,0,0,1
658,29.62,0,0,0,1
659,29.64,0,0,0,1
660,29.64,0,0,0,1
661,29.66,0,0,0,1
662,29.68,0,0,0,1
663,29.68,0,0,0,1
664,29.7,0,0,0,1
665,29.71,0,0,0,1
666,29.72,0,0,0,1
667,29.73,0,0,0,1
668,29.73,0,0,0,1
669,29.75,0,0,0,1
670,29.75,0,0,0,1
671,29.75,0,0,0,1
672,29.76,0,0,0,1
673,29.76,0,0,0,1
674,29.75,0,0,0,1
675,29.75,0,0,0,1
676,29.75,0,0,0,1
677,29.75,0,0,0,1
678,29.74,0,0,0,1
679,29.74,0,0,0,1
680,29.73,0,0,0,1
681,29.72,0,0,0,1
682,29.7,0,0,0,1
683,29.69,0,0,0,1
684,29.67,0,0,0,1
685,29.66,0,0,0,1
686,29.64,0,0,0,0
687,29.62,0,0,0,0
688,29.6,0,0,0,0
689,29.58,0,0,0,0
690,29.56,0,0,0,0
691,29.54,0,0,0,0
692,29.53,0,0,0,0
693,29.51,0,0,0,-1
694,29.5,0,0,0,-1
695,29.49,0,0,0,-1
696,29.47,0,0,0,-1
697,29.46,0,0,0,-1
698,29.45,0,0,0,-1
699,29.44,0,0,0,-1
700,29.43,0,0,0,-1
701,29.42,0,0,0,-1
702,29.41,0,0,0,-1
703,29.41,0,0,0,-1
704,29.4,0,0,0,-1
705,29.39,0,0,0,-1
706,29.38,0,0,0,-1
707,29.37,0,0,0,-1
708,29.37,0,0,0,-1
709,29.37,0,0,0,-1
710,29.36,0,0,0,-1
711,29.35,0,0,0,-1
712,29.35,0,0,0,-1
713,29.34,0,0,0,-1
714,29.33,0,0,0,-1
715,29.33,0,0,0,-1
716,29.32,0,0,0,-1
717,29.32,0,0,0,-1
718,29.32,0,0,0,-1
719,29.32,0,0,0,-1
720,29.31,0,0,0,-1
721,29.31,0,0,0,-1
722,29.32,0,0,0,-1
723,29.32,0,0,0,-1
724,29.33,0,0,0,-1
725,29.34,0,0,0,-1
726,29.35,0,0,0,-1
727,29.36,0,0,0,-1
728,29.36,0,0,0,-1
729,29.38,0,0,0,-1
730,29.38,0,0,0,-1
731,29.41,0,0,0,-1
732,29.41,0,0,0,-1
733,29.43,0,0,0,0
734,29.45,0,0,0,0
735,29.46,0,0,0,0
736,29.48,0,0,0,0
737,29.5,0,0,0,0
738,29.51,0,0,0,0
739,29.53,0,0,0,0
740,29.55,0,0,0,0
741,29.55,0,0,0,0
742,29.57,0,0,0,0
743,29.59,0,0,0,1
744,29.61,0,0,0,1
745,29.63,0,0,0,1
746,29.65,0,0,0,1
747,29.67,0,0,0,1
748,29.68,0,0,0,1
749,29.7,0,0,0,1
750,29.71,0,0,0,1
751,29.73,0,0,0,1
752,29.74,0,0,0,1
753,29.76,0,0,0,1
754,29.77,0,0,0,1
755,29.78,0,0,0,1
756,29.79,0,0,0,1
757,29.8,0,0,0,1
758,29.82,0,0,0,1
759,29.82,0,0,0,1
760,29.84,0,0,0,1
761,29.84,0,0,0,1
762,29.86,0,0,0,1
763,29.86,0,0,0,1
764,29.87,0,0,0,1
765,29.87,0,0,0,1
766,29.86,0,0,0,1
767,29.86,0,0,0,1
768,29.87,0,0,0,1
769,29.87,0,0,0,1
770,29.87,0,0,0,1
771,29.87,0,0,0,1
772,29.87,0,0,0,1
773,29.86,0,0,0,1
774,29.85,0,0,0,1
775,29.84,0,0,0,1
776,29.83,0,0,0,1
777,29.81,0,0,0,1
778,29.8,0,0,0,1
779,29.78,0,0,0,1
780,29.77,0,0,0,1
781,29.75,0,0,0,1
782,29.73,0,0,0,1
783,29.72,0,0,0,1
784,29.69,0,0,0,1
785,29.68,0,0,0,1
786,29.66,0,0,0,0
787,29.64,0,0,0,0
788,29.61,0,0,0,0
789,29.6,0,0,0,0
790,29.6,0,0,0,0
791,29.58,0,0,0,0
792,29.56,0,0,0,0
793,29.55,0,0,0,0
794,29.53,0,0,0,0
795,29.52,0,0,0,0
796,29.51,0,0,0,0
797,29.5,0,0,0,0
798,29.49,0,0,0,0
799,29.48,0,0,0,-1
800,29.47,0,0,0,-1
801,29.46,0,0,0,-1
802,29.46,0,0,0,-1
803,29.45,0,0,0,-1
804,29.44,0,0,0,-1
805,29.44,0,0,0,-1
806,29.43,0,0,0,-1
807,29.42,0,0,0,-1
808,29.42,0,0,0,-1
809,29.42,0,0,0,-1
810,29.42,0,0,0,-1
811,29.43,0,0,0,-1
812,29.43,0,0,0,-1
813,29.44,0,0,0,-1
814,29.44,0,0,0,-1
815,29.46,0,0,0,-1
816,29.47,0,0,0,-1
817,29.48,0,0,0,-1
818,29.49,0,0,0,-1
819,29.51,0,0,0,0
820,29.52,0,0,0,0
821,29.53,0,0,0,0
822,29.54,0,0,0,0
823,29.56,0,0,0,0
824,29.58,0,0,0,0
825,29.6,0,0,0,0
826,29.62,0,0,0,0
827,29.63,0,0,0,0
828,29.65,0,0,0,0
829,29.66,0,0,0,0
830,29.67,0,0,0,0
831,29.69,0,0,0,0
832,29.71,0,0,0,1
833,29.71,0,0,0,1
834,29.74,0,0,0,1
835,29.75,0,0,0,1
836,29.77,0,0,0,1
837,29.78,0,0,0,1
838,29.79,0,0,0,1
839,29.8,0,0,0,1
840,29.81,0,0,0,1
841,29.82,0,0,0,1
842,29.84,0,0,0,1
843,29.84,0,0,0,1
844,29.85,0,0,0,1
845,29.86,0,0,0,1
846,29.87,0,0,0,1
847,29.87,0,0,0,1
848,29.87,0,0,0,1
849,29.87,0,0,0,1
850,29.89,0,0,0,1
851,29.89,0,0,0,1
852,29.89,0,0,0,1
853,29.89,0,0,0,1
854,29.88,0,0,0,1
855,29.88,0,0,0,1
856,29.87,0,0,0,1
857,29.86,0,0,0,1
858,29.84,0,0,0,1
859,29.84,0,0,0,1
860,29.82,0,0,0,1
861,29.82,0,0,0,1
862,29.79,0,0,0,1
863,29.76,0,0,0,0
864,29.75,0,0,0,0
865,29.73,0,0,0,0
866,29.72,0,0,0,0
867,29.7,0,0,0,0
868,29.69,0,0,0,0
869,29.67,0,0,0,0
870,29.66,0,0,0,0
871,29.64,0,0,0,0
872,29.63,0,0,0,0
873,29.62,0,0,0,0
874,29.59,0,0,0,-1
875,29.59,0,0,0,0
876,29.57,0,0,0,-1
877,29.57,0,0,0,-1
878,29.56,0,0,0,-1
879,29.55,0,0,0,-1
880,29.54,0,0,0,-1
881,29.54,0,0,0,-1
882,29.53,0,0,0,-1
883,29.52,0,0,0,-1
884,29.52,0,0,0,-1
885,29.51,0,0,0,-1
886,29.51,0,0,0,-1
887,29.51,0,0,0,-1
888,29.5,0,0,0,-1
889,29.5,0,0,0,-1
890,29.5,0,0,0,-1
891,29.5,0,0,0,-1
892,29.49,0,0,0,-1
893,29.5,0,0,0,-1
894,29.5,0,0,0,-1
895,29.51,0,0,0,-1
896,29.51,0,0,0,-1
897,29.52,0,0,0,-1
898,29.53,0,0,0,-1
899,29.53,0,0,0,-1
900,29.55,0,0,0,-1
901,29.56,0,0,0,0
902,29.58,0,0,0,0
903,29.58,0,0,0,0
904,29.6,0,0,0,0
905,29.62,0,0,0,0
906,29.63,0,0,0,0
907,29.64,0,0,0,0
908,29.67,0,0,0,0
909,29.67,0,0,0,0
910,29.69,0,0,0,0
911,29.7,0,0,0,0
912,29.72,0,0,0,0
913,29.74,0,0,0,1
914,29.75,0,0,0,1
915,29.76,0,0,0,1
916,29.78,0,0,0,1
917,29.78,0,0,0,1
918,29.8,0,0,0,1
919,29.81,0,0,0,1
920,29.82,0,0,0,1
921,29.84,0,0,0,1
922,29.85,0,0,0,1
923,29.86,0,0,0,1
924,29.86,0,0,0,1
925,29.87,0,0,0,1
926,29.88,0,0,0,1
927,29.88,0,0,0,1
928,29.89,0,0,0,1
929,29.89,0,0,0,1
930,29.9,0,0,0,1
931,29.9,0,0,0,1
932,29.91,0,0,0,1
933,29.9,0,0,0,1
934,29.9,0,0,0,1
935,29.9,0,0,0,1
936,29.89,0,0,0,1
937,29.89,0,0,0,1
938,29.88,0,0,0,1
939,29.86,0,0,0,1
940,29.86,0,0,0,1
941,29.85,0,0,0,1
942,29.83,0,0,0,1
943,29.82,0,0,0,1
944,29.81,0,0,0,1
945,29.79,0,0,0,0
946,29.77,0,0,0,0
947,29.75,0,0,0,0
948,29.74,0,0,0,0
949,29.72,0,0,0,0
950,29.72,0,0,0,0
951,29.7,0,0,0,0
952,29.69,0,0,0,0
953,29.67,0,0,0,0
954,29.67,0,0,0,0
955,29.66,0,0,0,0
956,29.65,0,0,0,0
957,29.63,0,0,0,-1
958,29.62,0,0,0,-1
959,29.61,0,0,0,-1
960,29.6,0,0,0,-1
961,29.6,0,0,0,-1
962,29.6,0,0,0,-1
963,29.58,0,0,0,-1
964,29.58,0,0,0,-1
965,29.57,0,0,0,-1
966,29.57,0,0,0,-1
967,29.57,0,0,0,-1
968,29.56,0,0,0,-1
969,29.56,0,0,0,-1
970,29.56,0,0,0,-1
971,29.56,0,0,0,-1
972,29.56,0,0,0,-1
973,29.58,0,0,0,-1
974,29.57,0,0,0,-1
975,29.58,0,0,0,-1
976,29.6,0,0,0,-1
977,29.6,0,0,0,-1
978,29.62,0,0,0,0
979,29.62,0,0,0,0
980,29.64,0,0,0,0
981,29.67,0,0,0,0
982,29.67,0,0,0,0
983,29.69,0,0,0,0
984,29.7,0,0,0,0
985,29.71,0,0,0,0
986,29.73,0,0,0,0
987,29.75,0,0,0,0
988,29.76,0,0,0,1
989,29.78,0,0,0,1
990,29.79,0,0,0,1
991,29.81,0,0,0,1
992,29.83,0,0,0,1
993,29.84,0,0,0,1
994,29.85,0,0,0,1
995,29.86,0,0,0,1
996,29.87,0,0,0,1
997,29.88,0,0,0,1
998,29.89,0,0,0,1
999,29.91,0,0,0,1
1000,29.91,0,0,0,1
1001,29.93,0,0,0,1
1002,29.94,0,0,0,1
1003,29.95,0,0,0,1
1004,29.96,0,0,0,1
1005,29.96,0,0,0,1
1006,29.97,0,0,0,1
1007,29.96,0,0,0,1
1008,29.97,0,0,0,1
1009,29.98,0,0,0,1
1010,29.97,0,0,0,1
1011,29.98,0,0,0,1
1012,29.98,0,0,0,1
1013,29.98,0,0,0,1
1014,29.97,0,0,0,1
1015,29.95,0,0,0,1
1016,29.96,0,0,0,1
1017,29.93,0,0,0,1
1018,29.92,0,0,0,1
1019,29.91,0,0,0,1
1020,29.89,0,0,0,1
1021,29.88,0,0,0,1
1022,29.87,0,0,0,1
1023,29.85,0,0,0,0
1024,29.83,0,0,0,0
1025,29.82,0,0,0,0
1026,29.81,0,0,0,0
1027,29.79,0,0,0,0
1028,29.77,0,0,0,0
1029,29.76,0,0,0,0
1030,29.75,0,0,0,0
1031,29.74,0,0,0,0
1032,29.73,0,0,0,0
1033,29.71,0,0,0,0
1034,29.7,0,0,0,-1
1035,29.69,0,0,0,-1
1036,29.68,0,0,0,-1
1037,29.68,0,0,0,-1
1038,29.67,0,0,0,-1
1039,29.66,0,0,0,-1
1040,29.65,0,0,0,-1
1041,29.64,0,0,0,-1
1042,29.64,0,0,0,-1
1043,29.64,0,0,0,-1
1044,29.63,0,0,0,-1
1045,29.63,0,0,0,-1
1046,29.62,0,0,0,-1
1047,29.63,0,0,0,-1
1048,29.63,0,0,0,-1
1049,29.63,0,0,0,-1
1050,29.64,0,0,0,-1
1051,29.64,0,0,0,-1
1052,29.66,0,0,0,-1
1053,29.66,0,0,0,-1
1054,29.67,0,0,0,-1
1055,29.68,0,0,0,0
1056,29.7,0,0,0,0
1057,29.71,0,0,0,0
1058,29.72,0,0,0,0
1059,29.74,0,0,0,0
1060,29.75,0,0,0,0
1061,29.77,0,0,0,0
1062,29.77,0,0,0,0
1063,29.8,0,0,0,0
1064,29.82,0,0,0,1
1065,29.83,0,0,0,1
1066,29.85,0,0,0,1
1067,29.86,0,0,0,1
1068,29.88,0,0,0,1
1069,29.9,0,0,0,1
1070,29.9,0,0,0,1
1071,29.92,0,0,0,1
1072,29.94,0,0,0,1
1073,29.95,0,0,0,1
1074,29.97,0,0,0,1
1075,29.98,0,0,0,1
1076,29.99,0,0,0,1
1077,30.0,0,0,0,1
1078,30.01,0,0,0,1
1079,30.02,0,0,0,1
1080,30.03,0,0,0,1
1081,30.03,0,0,0,1
1082,30.03,0,0,0,1
1083,30.04,0,0,0,1
1084,30.04,0,0,0,1
1085,30.02,0,0,0,1
1086,30.03,0,0,0,1
1087,30.02,0,0,0,1
1088,30.02,0,0,0,1
1089,30.02,0,0,0,1
1090,30.0,0,0,0,1
1091,29.99,0,0,0,1
1092,29.98,0,0,0,1
1093,29.97,0,0,0,1
1094,29.96,0,0,0,1
1095,29.95,0,0,0,1
1096,29.92,0,0,0,1
1097,29.9,0,0,0,0
1098,29.89,0,0,0,0
1099,29.87,0,0,0,0
1100,29.86,0,0,0,0
1101,29.84,0,0,0,0
1102,29.84,0,0,0,0
1103,29.83,0,0,0,0
1104,29.81,0,0,0,0
1105,29.79,0,0,0,0
1106,29.78,0,0,0,0
1107,29.78,0,0,0,0
1108,29.76,0,0,0,-1
1109,29.75,0,0,0,-1
1110,29.74,0,0,0,-1
1111,29.73,0,0,0,-1
1112,29.72,0,0,0,-1
1113,29.72,0,0,0,-1
1114,29.71,0,0,0,-1
1115,29.71,0,0,0,-1
1116,29.7,0,0,0,-1
1117,29.7,0,0,0,-1
1118,29.69,0,0,0,-1
1119,29.68,0,0,0,-1
1120,29.68,0,0,0,-1
1121,29.69,0,0,0,-1
1122,29.69,0,0,0,-1
1123,29.69,0,0,0,-1
